City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
114,hiratacho,35.4333,132.8167,24.98,53,75,4.12,JP,1685234489
115,grootfontein,-19.5667,18.1167,18.76,42,93,2.06,NA,1685234490
116,petropavlovsk-kamchatsky,53.0452,158.6483,9.33,76,75,3.0,RU,1685234491
117,huarmey,-10.0681,-78.1522,22.3,82,81,3.69,PE,1685234492
118,chu,43.5983,73.7614,15.49,57,19,1.85,KZ,1685234492
119,codrington,-38.2667,141.9667,14.11,76,6,6.78,AU,1685234493
120,port elizabeth,-33.918,25.5701,14.62,50,0,1.34,ZA,1685234493
121,akureyri,65.6835,-18.0878,6.96,53,0,8.23,IS,1685234493
122,port mathurin,-19.6833,63.4167,25.26,73,0,9.48,MU,1685234494
123,hami,42.8,93.45,24.49,13,100,0.9,CN,1685234357
124,velyka dymerka,50.5918,30.9011,14.34,78,0,4.32,UA,1685234495
125,porangatu,-13.4408,-49.1486,24.91,46,49,1.81,BR,1685234495
126,solleftea,63.1667,17.2667,10.96,86,100,4.6,SE,1685234496
127,papatowai,-46.5619,169.4708,12.71,68,100,2.54,NZ,1685234496
128,klyuchi,52.2667,79.1667,11.38,49,4,5.71,RU,1685234497
129,weno,7.4515,151.8468,29.97,79,100,3.09,FM,1685234497
130,dryden,49.7833,-92.7503,27.16,18,0,4.63,CA,1685234498
131,lebu,-37.6167,-73.65,8.14,81,86,5.45,CL,1685234498
132,shitanjing,39.2342,106.3439,20.06,30,100,1.53,CN,1685234499
133,bredasdorp,-34.5322,20.0403,8.54,78,0,1.35,ZA,1685234499
134,altai,46.3722,96.2583,9.81,28,3,2.53,MN,1685234500
135,shingu,33.7333,135.9833,22.17,65,100,2.08,JP,1685234500
136,st. john's,47.5649,-52.7093,7.6,87,75,6.17,CA,1685234501
137,tiksi,71.6872,128.8694,2.49,97,100,6.17,RU,1685234501
138,trincomalee,8.5711,81.2335,28.01,77,20,6.69,LK,1685234502
139,kotel'nikovo,47.6317,43.1461,14.91,96,0,2.98,RU,1685234503
140,puerto ayora,-0.7393,-90.3518,25.86,92,98,3.58,EC,1685234503
141,howard springs,-12.497,131.047,24.34,29,30,4.92,AU,1685234504
142,santa rosa misiones,-26.8667,-56.85,17.99,94,100,5.23,PY,1685234504
143,porto novo,6.4965,2.6036,24.9,87,100,1.89,BJ,1685234505
144,ugoofaaru,5.6667,73.0,28.57,77,84,6.22,MV,1685234505
145,berezovyy,51.6667,135.7,5.3,79,100,3.28,RU,1685234506
146,rengasdengklok,-6.1592,107.2981,25.07,75,99,1.04,ID,1685234506
147,namdrik,5.5994,168.1028,28.52,78,27,5.95,MH,1685234506
148,shizunai-furukawacho,42.3339,142.3669,15.14,80,100,3.53,JP,1685234507
149,katabu,-4.9333,122.5167,28.04,68,62,3.29,ID,1685234507
